TipusCasData,RegioSanitariaDescripcio,EdatRang,Total
2020-03-16,LLEIDA,70-79,1
2020-03-16,LLEIDA,50-59,8
2020-03-16,LLEIDA,80-89,2
2020-03-16,METROPOLITANA NORD,40-49,77
2020-03-16,LLEIDA,30-39,1
2020-03-16,LLEIDA,40-49,8
2020-03-16,METROPOLITANA NORD,80-89,26
2020-03-16,LLEIDA,90+,1
2020-03-16,LLEIDA,20-29,1
2020-03-16,METROPOLITANA NORD,90+,11
2020-03-16,METROPOLITANA NORD,70-79,42
2020-03-16,METROPOLITANA NORD,0-9,1
2020-03-17,CATALUNYA CENTRAL,40-49,18
2020-03-17,CATALUNYA CENTRAL,70-79,17
2020-03-17,CATALUNYA CENTRAL,60-69,12
2020-03-17,CATALUNYA CENTRAL,50-59,11
2020-03-17,CATALUNYA CENTRAL,80-89,7
2020-03-17,CATALUNYA CENTRAL,30-39,7
2020-03-17,CATALUNYA CENTRAL,20-29,4
2020-03-17,CAMP DE TARRAGONA,40-49,2
2020-03-17,CATALUNYA CENTRAL,90+,5
2020-03-17,GIRONA,40-49,9
2020-03-17,CAMP DE TARRAGONA,60-69,11
2020-03-17,GIRONA,60-69,8
2020-03-17,GIRONA,80-89,2
2020-03-17,GIRONA,90+,4
2020-03-17,GIRONA,50-59,15
2020-03-17,GIRONA,20-29,6
2020-03-17,GIRONA,30-39,8
2020-03-17,ALT PIRINEU I ARAN,50-59,1
2020-03-17,CAMP DE TARRAGONA,50-59,5
2020-03-17,BARCELONA CIUTAT,70-79,63
2020-03-17,BARCELONA CIUTAT,40-49,54
2020-03-17,BARCELONA CIUTAT,60-69,68
2020-03-17,BARCELONA CIUTAT,20-29,28
2020-03-17,BARCELONA CIUTAT,30-39,46
2020-03-17,BARCELONA CIUTAT,50-59,79
2020-03-17,ALT PIRINEU I ARAN,40-49,1
2020-03-17,ALT PIRINEU I ARAN,60-69,1
2020-03-17,CAMP DE TARRAGONA,20-29,2
2020-03-17,CAMP DE TARRAGONA,30-39,1
2020-03-17,CAMP DE TARRAGONA,70-79,3
2020-03-17,CAMP DE TARRAGONA,80-89,1
2020-03-17,BARCELONA CIUTAT,80-89,56
2020-03-17,BARCELONA CIUTAT,90+,12
2020-03-17,METROPOLITANA NORD,70-79,49
2020-03-17,METROPOLITANA SUD,50-59,39
2020-03-17,METROPOLITANA SUD,20-29,11
2020-03-17,METROPOLITANA SUD,40-49,36
2020-03-17,METROPOLITANA SUD,70-79,41
2020-03-17,METROPOLITANA SUD,60-69,45
2020-03-17,METROPOLITANA SUD,90+,15
2020-03-17,METROPOLITANA NORD,30-39,30
2020-03-17,METROPOLITANA NORD,20-29,15
2020-03-17,METROPOLITANA NORD,50-59,65
2020-03-17,METROPOLITANA SUD,80-89,27
2020-03-17,TERRES DE L'EBRE,80-89,1
2020-03-17,TERRES DE L'EBRE,40-49,1
2020-03-17,TERRES DE L'EBRE,50-59,3
2020-03-17,TERRES DE L'EBRE,90+,1
2020-03-17,METROPOLITANA SUD,30-39,29
2020-03-17,GIRONA,70-79,8
2020-03-17,METROPOLITANA NORD,0-9,2
2020-03-17,LLEIDA,30-39,3
2020-03-17,LLEIDA,90+,6
2020-03-17,LLEIDA,70-79,5
2020-03-17,LLEIDA,40-49,7
2020-03-17,LLEIDA,80-89,10
2020-03-17,METROPOLITANA NORD,40-49,53
2020-03-17,LLEIDA,50-59,4
2020-03-17,METROPOLITANA NORD,60-69,59
2020-03-17,TERRES DE L'EBRE,30-39,1
2020-03-17,METROPOLITANA NORD,90+,8
2020-03-17,METROPOLITANA NORD,80-89,39
2020-03-18,CATALUNYA CENTRAL,50-59,30
2020-03-18,CATALUNYA CENTRAL,40-49,22
2020-03-18,CATALUNYA CENTRAL,10-19,1
2020-03-18,CATALUNYA CENTRAL,70-79,12
2020-03-18,CATALUNYA CENTRAL,20-29,6
2020-03-18,CATALUNYA CENTRAL,30-39,6
2020-03-18,CATALUNYA CENTRAL,90+,4
2020-03-18,CATALUNYA CENTRAL,0-9,1
2020-03-18,CATALUNYA CENTRAL,80-89,15
2020-03-18,GIRONA,90+,8
2020-03-18,CAMP DE TARRAGONA,50-59,5
2020-03-18,GIRONA,80-89,9
2020-03-18,GIRONA,50-59,23
2020-03-18,GIRONA,60-69,16
2020-03-18,GIRONA,70-79,13
2020-03-18,GIRONA,40-49,12
2020-03-18,CATALUNYA CENTRAL,60-69,18
2020-03-18,BARCELONA CIUTAT,40-49,70
2020-03-18,CAMP DE TARRAGONA,90+,2
2020-03-18,BARCELONA CIUTAT,90+,24
2020-03-18,BARCELONA CIUTAT,30-39,43
2020-03-18,BARCELONA CIUTAT,20-29,19
2020-03-18,BARCELONA CIUTAT,70-79,83
2020-03-18,ALT PIRINEU I ARAN,50-59,1
2020-03-18,ALT PIRINEU I ARAN,30-39,1
2020-03-18,ALT PIRINEU I ARAN,40-49,1
2020-03-18,ALT PIRINEU I ARAN,70-79,1
2020-03-18,ALT PIRINEU I ARAN,60-69,1
2020-03-18,BARCELONA CIUTAT,50-59,88
2020-03-18,BARCELONA CIUTAT,80-89,51
2020-03-18,CAMP DE TARRAGONA,80-89,2
2020-03-18,CAMP DE TARRAGONA,40-49,2
2020-03-18,CAMP DE TARRAGONA,60-69,4
2020-03-18,CAMP DE TARRAGONA,70-79,3
2020-03-18,BARCELONA CIUTAT,60-69,83
2020-03-18,CAMP DE TARRAGONA,30-39,4
2020-03-18,GIRONA,30-39,12
